Date of Listing (Date of Listing Approval),Issue Name*3,Code,Outline *4,Written Confirmation *6,Indicated Range (JPY),Public Offering (thous. shares),Trading Unit,Market Segment,Securities Report (part I) *5,CG Report,Offering Price (JPY),Secondary Distribution (thous. shares)*7,Earnings Report *8
"Mar. 28, 2024  (Feb. 22, 2024)",Caulis Inc.,153A,,,"1,440-1,530",380,100,Growth,,,1530,"1,210.7(OA238.6)",
"Mar. 28, 2024  (Feb. 22, 2024)","Information Strategy and Technology Co.,Ltd.",155A,,,380-460,1470,100,Growth,,,460,600(OA310.5),
"Mar. 27, 2024  (Feb. 20, 2024)",Columbia Works Inc.,146A,,,"3,110-3,300",833.4,100,Standard,,,3300,80.1(OA137),
"Mar. 27, 2024  (Feb. 21, 2024)","Thinca Co.,Ltd.",149A,,,"1,050-1,100",467,100,Growth,,,1320,153(OA93),
"Mar. 27, 2024  (Feb. 21, 2024)",Dive Inc.,151A,,,"1,710-1,820",365,100,Growth,,,1820,250(OA92.2),
"Mar. 26, 2024  (Feb. 20, 2024)",L is B Corp.,145A,,,920-990,800,100,Growth,,,1188,654.5(OA218.1),
"Mar. 26, 2024  (Feb. 20, 2024)","SORACOM,INC.",147A,,,820-870,47338,100,Growth,,,870,"6,071.5(OA1,620.7)",
"Mar. 26, 2024  (Feb. 20, 2024)","HATCH WORK CO.,LTD.",148A,,,"1,680-1,800",161.9,100,Growth,,,2160,141.4(OA45.4),
"Mar. 26, 2024  (Feb. 21, 2024)","JSH Co.,Ltd.",150A,,,350-380,850,100,Growth,,,456,(OA127.5),
"Mar. 25, 2024  (Feb. 20, 2024)","Ishin Co.,Ltd.",143A,,,"1,000-1,080",240,100,Growth,,,1080,250(OA73.5),
"Mar. 22, 2024  (Feb. 16, 2024)","JINJIB Co.,Ltd.",142A,,,"1,620-1,750",200,100,Growth,,,1750,150(OA52.5),
"Mar. 21, 2024  (Feb. 14, 2024)",Trial Holdings Inc.,141A,,,"1,600-1,700",21200,100,Growth,,,1700,"1,653.1(OA3,427.9)",
"Mar. 21, 2024  (Feb. 20, 2024)","STG CO.,LTD.",5858,,,"1,820-1,920",150,100,Growth,,,1920,160.5(OA46),
"Mar. 18, 2024  (Mar. 11, 2024)","MINO CERAMIC CO.,LTD.",5356,,,-,-,100,Standard,,,-,-,
"Mar. 13, 2024  (Mar. 06, 2024)","NAGOYA ELECTRIC WORKS CO.,LTD.",6797,,,-,-,100,Standard,,,-,-,
"Feb. 28, 2024  (Jan. 24, 2024)","Cocolive,Inc.",137A,,,"1,720-1,780",150,100,Growth,,,1780,465.3(OA92.2),
"Feb. 28, 2024  (Jan. 25, 2024)","Hikari Food Service Co.,Ltd.",138A,,,"2,400-2,660",320,100,Growth,,,2660,(OA48),
"Feb. 22, 2024  (Jan. 18, 2024)","VRAIN Solution,Inc.",135A,,,"2,790-2,990",210,100,Growth,,,2990,897.9(OA166.1),
"Feb. 08, 2024  (Jan. 05, 2024)",Veritas In Silico Inc.,130A,,,"800-1,000",800,100,Growth,,,1000,(OA120),
"Feb. 07, 2024  (Dec. 25, 2023)",SOLIZE Corporation,5871,,,"1,380-1,470",995.2,100,Standard,,,1470,(OA149.2),
